"","x"
"1",NA
"2",-0.0222535648309167
"3",-0.0998858604564591
"4",0.044405742477407
"5",-0.051679320848194
"6",0.0171666846261118
"7",0.0721339792777065
"8",0.0285143240766313
"9",-0.094124455384396
"10",0.0363562980150085
"11",-0.0354452683849623
"12",0.0937005694720062
"13",-0.0995069079988217
"14",0.0401258080740711
"15",-0.0655723737139373
"16",0.0312151939366604
"17",0.0256661307030792
"18",0.0179941029585852
"19",0.073786925576686
"20",-0.145951249008114
"21",0.0375301547791854
"22",0.0198503591943746
"23",0.00722378046021953
"24",-0.020714196747799
"25",-0.0510477724949459
"26",0.103282201351437
"27",-0.0550837197115839
"28",0.0408450183515628
"29",-0.0903542620136513
"30",0.0630072953607548
"31",0.0586233089834584
"32",0.055193459668615
"33",-0.117732295065183
"34",0.0595169517088391
"35",-0.112471058281866
"36",0.151077979808913
"37",-0.0698484485010711
"38",-0.0524097300873221
"39",0.0394552960459206
"40",-0.0363413265545767
"41",-0.0541165067239252
"42",0.0644158238795744
"43",0.0733420327007695
"44",-0.0223444693481383
"45",-0.0361251477759455
"46",0.0215449499954092
"47",-0.0185094670326428
"48",-0.0203133661806192
"49",0.0446870454410775
"50",0.018855879034472
"51",-0.0756864967305161
"52",0.0262141026322159
"53",0.0110482539917124
"54",0.0174935735495285
"55",0.0112923616249605
"56",-0.0531092783753393
"57",0.0270799136676866
"58",-0.0158597567118233
"59",-0.00241946188161788
"60",-0.0241902294739746
"61",0.0137305276766684
"62",0.0010377929600875
"63",0.0147737721768029
"64",0.0278028062606775
"65",-0.0178085810804093
"66",0.0460332272369945
"67",-0.0205541257819624
"68",-0.0349581797822449
"69",-0.009876797356582
"70",0.00933015678760799
