Date,USGG2YR Index,USGG10YR Index,USGG30YR Index,VIX Index,MOVE Index,AAIIBULL Index,AAIIBEAR Index,SPX Index,SPX Index,.TED G Index,.BAA10YB Index,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPL,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,SRVPRD,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,ISRATIO,M1SL,M2SL,M2REAL,AMBSL,BUSLOANS,REALLN,WPSFD49207,WPSFD49502,WPSID61,WPSID62,MZMSL,DTCOLNVHFNM,DTCTHFNM,INVEST,ism_man_empl,ism_man_neworders,ism_man_pmi,ism_man_prices
2/1/2018,2.1609,2.7896,3.0241,13.47,57.8349,44.77,28.76,63.87,68.43,30.8939,96.0369,14751.8,12210.2,122.415,1281760,108.219,104.697,103.969,107.104,123.878,102.877,103.887,111.951,109.155,102.894,105.9,104.05,104.256,76.9056,161921,155215,4.1,22.9,2508,1906,2330,934,1397,148177,20500,662.8,7173,12614,7875,127677,5956.2,15926.2,8547,22358,41.5,4.7,42.2,1236,109,155,633,339,1.35,3614,13858.3,5551.8,3890.89,2132.54,4293.02,202.1,214.8,197.9,204.8,15276.1,303018,731942,3417.39,59.7,64.2,60.7,74.2
1/1/2018,1.883,2.4054,2.7399,11.04,46.5962,52.65,20.63,60.95,64.52,31.855,113.4567,14714.2,12160,122.365,1280790,107.243,104.301,103.815,106.969,121.732,103.222,104.374,110.261,107.118,102.182,104.787,114.129,107.385,76.1769,161115,154430,4.1,24.1,2280,1943,2402,981,1421,147810,20358,652.5,7099,12555,7828,127452,5953.2,15876.8,8518,22328,41.1,4.5,41.7,1326,128,150,655,393,1.34,3648,13838.3,5552.1,3824.7,2126.94,4280.79,202.7,215.6,196.5,199.2,15256.9,302531,733758,3446.89,54.2,65.4,59.1,72.7
3/1/2017,1.2842,2.4526,3.0608,12.54,70.1326,38.46,32.31,81.69,73.03,47.3353,120.7372,14707.2,12154.6,118.774,1261130,104.1,102.036,100.77,104.572,119.006,100.908,99.4713,106.044,105.172,100.74,102.936,99.7826,110.136,75.3085,160201,153000,4.5,25.3,2334,2109,2802,1115,1687,145858,19969,644,6882,12392,7737,125889,5902.3,15855.7,8409,22318,41.1,4.2,41.8,1215,131,155,645,284,1.35,3436.5,13390.6,5493.5,3887.18,2084.58,4145.97,196.6,207.4,188.7,186.4,14744.4,340752,897405,3351.47,58.9,64.5,56.6,70.5
5/1/2017,1.2739,2.318,3.0023,10.11,59.3993,38.05,31.71,62.05,59.52,36.9843,128.2042,14704.7,12150.6,119.682,1250210,105.028,102.682,101.678,105.4,120.186,101.647,100.259,107.327,105.611,100.563,103.315,100.762,110.025,75.5152,159784,152923,4.3,24.7,2154,1960,2820,1157,1663,146135,19985,655.3,6881,12398,7736,126150,5906.5,15836.2,8428,22304,41.2,4.2,41.8,1092,87,168,526,311,1.38,3504.2,13495.5,5534.4,3796.43,2097.42,4174.26,196.4,207.2,189.9,186.9,14892.7,339553,896687,3370.99,53.5,59.5,55.5,60.5
12/1/2017,1.772,2.3615,2.7615,11.43,50.1704,35.95,31.62,73.11,69.03,23.6179,118.8455,14683.9,12153.6,122.59,1295210,107.464,104.259,103.526,106.686,121.336,102.966,103.897,110.806,107.851,103.155,105.012,112.891,105.316,76.4441,160597,154021,4.1,23.6,2235,1994,2397,882,1515,147380,20259,675.8,6993,12539,7838,127121,5959.2,15814.5,8498,22341,41.3,4.4,41.9,1192,88,178,582,344,1.33,3614.6,13844.5,5583.3,3823.2,2123.73,4272.71,201.2,213.4,195.2,197,15276.7,302868,721648,3451.51,58.1,67.4,59.3,68.3
11/1/2017,1.6119,2.3721,2.8579,10.2,49.9351,39.64,33.03,67.25,65.57,22.5656,107.7877,14650.7,12118.6,122.009,1288760,106.397,103.732,102.981,105.947,120.813,102.177,104.004,109.078,107.604,102.407,104.84,102.698,107.15,76.3608,160529,153918,4.1,25.4,2250,1878,2508,927,1581,147241,20199,679.7,6955,12514,7818,127042,5948.1,15845,8492,22341,41.3,4.4,42,1297,87,175,691,344,1.33,3617.7,13785.4,5567.8,3925.22,2119.37,4266.05,201.8,214.3,194.2,193,15183.5,303277,727277,3408.27,59.2,63.9,58.2,64.8
2/1/2017,1.2125,2.4699,3.0753,11.81,70.8378,31.58,33.49,55.67,58.23,53.2056,124.0127,14644.8,12105.1,118.576,1258830,104.736,102.548,101.246,103.469,122.472,98.4916,103.351,106.959,107.347,102.829,104.534,90.2563,111.083,75.6121,160056,152528,4.7,25.1,2566,2138,2858,1057,1801,145798,19943,628.8,6881,12382,7725,125855,5904.2,15894.9,8403,22324,41.3,4.3,42,1288,119,187,659,323,1.35,3374,13313.1,5446,3781.21,2096.03,4134.66,197,208.2,188.5,194.6,14671.4,339659,898073,3346.25,54.2,65.1,57.6,68
9/1/2017,1.342,2.1657,2.777,10.13,49.4378,25,39.89,60.13,56.88,31.6347,123.4318,14623.9,12096.5,121.559,1272310,104.637,102.542,101.633,105.086,118.89,101.572,100.825,106.624,106.076,96.7783,103.026,100.348,102.558,75.1207,161146,154345,4.2,26.8,2226,1874,2696,963,1733,146659,20079,672.2,6911,12447,7775,126580,5932.8,15809,8473,22337,41.1,4.4,41.8,1127,99,154,527,347,1.36,3553.1,13692.4,5557.6,3885.51,2125.34,4231.77,198.8,210.3,191.3,187,15126.6,303182,739346,3393.88,60.3,64.6,60.2,71.5
8/1/2017,1.3411,2.2532,2.8567,10.09,49.9721,34.46,24.32,64.39,61.38,24.3112,113.6785,14622.9,12087.9,120.752,1265120,104.739,102.241,101.399,104.802,117.828,101.475,100.48,107.223,105.833,100.417,103.285,98.4306,106.557,75.349,160571,153439,4.4,24.4,2222,2015,2795,1055,1740,146730,20117,670.4,6918,12480,7803,126613,5932.4,15828.9,8464,22298,41.4,4.4,42.1,1180,105,200,563,312,1.38,3560.1,13647,5569.5,3928.63,2108.03,4219.56,197.3,208.2,190.3,187.7,15057.6,302105,739174,3384.16,59.9,60.3,59.3,62
12/1/2016,1.147,2.4481,3.1085,14.07,86.6292,43.78,25.1,57.93,55.71,47.4744,136.1894,14590.3,12074.8,118.538,1264480,104.571,102.21,101.038,103.87,122.697,98.9387,102.093,107.035,105.834,101.14,103.21,107.999,108.276,74.7957,159640,152111,4.7,26,2379,2156,3030,1199,1831,145303,19655,631.6,6699,12275,7678,125648,5952.6,16017.5,8349,22223,41,4.3,41.8,1226,96,227,572,331,1.35,3320.7,13246.9,5450.7,3509.76,2099.67,4116.48,195.3,205.7,185.8,187.6,14630.5,342428,903001,3328.48,52.8,60.3,54.5,65.5
