"","DV","Variable","# datapoints","R2","adjR2","AIC","BIC","F","RMSE","Coef","p-value","Robst p","BG_stat","DW_upper_stat","DW_lower_stat","BP_stat","RMSE_OS","ADF pvalue","PP pvalue","KPSS pvalue","Criteria1","Criteria2","Criteria3"
"1","EQ_large_cap","SPX_Index_30DRSIMoMPercentChangeL0","70","0.687187342017986","0.682653825235638","408.237412866899","412.734403350997","0","4.34259266806549","44.9564183309755","4.43578981636889e-19","1.01740981096359e-13","0.0863287370117541","0.0517334145378011","0.948266585462199",NA,"6.11861918735246","0.0745206341794289","0.01","0.1","","",""
"2","EQ_large_cap","SPX_Index_30DRSIMoMDifferenceL0","70","0.641383483239857","0.636186142417246","417.802852986881","422.29984347098","0","4.64966944970386","0.811400945453631","5.11411919003897e-17","8.45095105213865e-12","0.179909980853423","0.107015025337427","0.892984974662573",NA,"6.35211892708629","0.0687493325327623","0.01","0.1","","",""
"3","EQ_large_cap","VIX_IndexMoMDifferenceL0","70","0.534825582863241","0.528083924643868","436.013969459881","440.51095994398","4.40980585381112e-13","5.29559601392153","-1.42823747427985","4.4097185160653e-13","7.03118479456873e-06","0.638761975057273","0.292610170894301","0.707389829105699",NA,"7.4072955386005","0.01","0.01","0.1","","",""
"4","EQ_large_cap","SPX_Index_14DRSIMoMPercentChangeL0","70","0.487709613604912","0.48028511525136","442.767513412092","447.264503896191","1.28517196884559e-11","5.55731531160695","20.1726742857689","1.28517060492943e-11","2.83061488598767e-07","0.379433269618969","0.216872066992126","0.783127933007874",NA,"7.60276098297001","0.0183140612711621","0.01","0.1","","",""
"5","EQ_large_cap","SPX_Index_14DRSIMoMDifferenceL0","70","0.459536208822136","0.451703400254341","446.515034692917","451.012025177016","8.38116243073728e-11","5.70808244442856","0.387052500704709","8.38115821043042e-11","2.87459020314284e-08","0.320083184714957","0.189728419992617","0.810271580007383",NA,"7.67032816728737","0.0204417837690003","0.01","0.1","","",""
"6","EQ_large_cap","VIX_IndexMoMPercentChangeL0","70","0.432289316651489","0.424061625588467","449.957934654206","454.454925138305","4.70692484988433e-10","5.8501967066916","-18.9862580335665","4.70692459852314e-10","9.76438374218525e-05","0.933791005871455","0.439610198882435","0.560389801117565",NA,"7.97155606094544","0.01","0.01","0.1","","",""
"7","EQ_large_cap","BAA10YB_IndexMoMDifferenceL0","70","0.323987854546488","0.314190577076147","462.179872625635","466.676863109734","2.22406446259704e-07","6.38387220984768","-0.303244290019408","2.22406446216955e-07","1.01802287431344e-06","0.126502927254619","0.939313930304821","0.0606860696951786",NA,"8.33755018052312","0.01","0.01","0.1","","",""
"8","EQ_large_cap","BAA10YB_IndexMoMPercentChangeL0","70","0.2685224462933","0.257921322326536","467.699757077227","472.196747561326","3.68168985676043e-06","6.64060177917466","-40.1239108212469","3.68168985670733e-06","8.87360204898872e-06","0.161789082362738","0.921709231200501","0.0782907687994988",NA,"8.54166696536288","0.01","0.01","0.1","","",""
"9","EQ_large_cap","AAIIBEAR_IndexMoMDifferenceL0","70","0.245051428164988","0.234110144515205","469.910573759412","474.407564243511","1.14098861381251e-05","6.74629952814519","-0.470292853772434","1.1409886138108e-05","0.000751521706055046","0.158553580956163","0.929934784484766","0.0700652155152341",NA,"8.45142490011802","0.01","0.01","0.1","","",""
"10","EQ_large_cap","IPMATMoMDifferenceL1","70","0.239437792327238","0.228415151636328","470.429153120444","474.926143604542","1.48875918929425e-05","6.7713350935369","2.53963768288853","1.48875918929408e-05","1.52911958049275e-05","0.794578621764653","0.450545790587046","0.549454209412954",NA,"8.25253439169778","0.01","0.01","0.1","","",""
"11","EQ_large_cap","IPMATMoMPercentChangeL1","70","0.236729577630431","0.225667687451162","470.677966834805","475.174957318903","1.69164337960881e-05","6.7833800869063","277.348631961598","1.69164337961408e-05","2.13853370510857e-05","0.781658171010575","0.318347542934122","0.681652457065878",NA,"8.27278418023186","0.01","0.01","0.1","","",""
"12","EQ_large_cap","ism_man_newordersMoMPercentChangeL0","70","0.186469198541427","0.174678897071013","475.141964866673","479.638955350772","0.000169823326686358","7.0031581797352","49.8855468198898","0.000169823326686306","0.00784310396495853","0.644269268166508","0.590147418426501","0.409852581573499",NA,"8.86292065053462","0.01","0.01","0.1","","",""
"13","EQ_large_cap","MOVE_IndexMoMPercentChangeL0","70","0.185230570254573","0.173422317649567","475.248461193508","479.745451677606","0.000179501061291498","7.00848742515617","-25.3107025280595","0.000179501061291475","0.00777798045824647","0.732462389217419","0.657952424639111","0.342047575360889",NA,"8.80631539968619","0.01","0.01","0.1","","",""
"14","EQ_large_cap","MOVE_IndexMoMDifferenceL0","70","0.184771224405844","0.172956314614624","475.287914255673","479.784904739771","0.000183225707943158","7.0104627484027","-0.368369187809793","0.000183225707943148","0.00235900033841051","0.608257089661813","0.717175811037736","0.282824188962264",NA,"8.92883431932586","0.01","0.01","0.1","","",""
"15","EQ_large_cap","ism_man_newordersMoMDifferenceL0","70","0.178207923455986","0.166297893361145","475.849218685747","480.346209169846","0.000245488426300011","7.03862633904504","0.823117591758409","0.000245488426300046","0.00801133417485167","0.648820518116591","0.593170434852834","0.406829565147166",NA,"8.90240300717443","0.01","0.01","0.1","","",""
"16","EQ_large_cap","IPMANSICSMoMDifferenceL1","70","0.173749786937583","0.161775146168563","476.227935080906","480.724925565004","0.000299165326872908","7.05769242394316","-2.22292788545445","0.000299165326872864","0.0060942360950925","0.454601845918765","0.735449728545248","0.264550271454752",NA,"9.19296452143518","0.01","0.01","0.1","","",""
"17","EQ_large_cap","INDPROMoMDifferenceL1","70","0.171279291527367","0.159268846477039","476.436923414077","480.933913898176","0.000333704272917235","7.06823582984334","2.84169361842587","0.000333704272917217","0.00846605966448581","0.875096886272213","0.540952188629548","0.459047811370452",NA,"9.62450029401108","0.01","0.01","0.1","","",""
"18","EQ_large_cap","IPDMATMoMPercentChangeL1","70","0.17013572676208","0.158108708309357","476.533450932579","481.030441416678","0.00035098843429604","7.07311093361935","218.996286744079","0.000350988434296072","0.0037798467239924","0.597420626756548","0.650941218853498","0.349058781146502",NA,"8.87985515455685","0.01","0.01","0.1","","",""
"19","EQ_large_cap","INDPROMoMPercentChangeL1","70","0.169630068664388","0.157595721833437","476.576090781627","481.073081265725","0.000358908347251496","7.07526552158952","298.728713814082","0.000358908347251466","0.00884063128196892","0.855841838313372","0.550675972611943","0.449324027388057",NA,"9.59807611708665","0.01","0.01","0.1","","",""
"20","EQ_large_cap","IPMANSICSMoMPercentChangeL1","70","0.167863242751854","0.155803289748258","476.724875579052","481.22186606315","0.000387982721372415","7.08278874672517","-232.226177892067","0.000387982721372429","0.0104072193900844","0.457970542271367","0.733507990898104","0.266492009101896",NA,"9.22765277433831","0.01","0.01","0.1","","",""
"21","EQ_large_cap","AAIIBEAR_IndexMoMPercentChangeL0","70","0.165388410058163","0.153292589914079","476.93275149045","481.429741974549","0.000432628513602817","7.09331328096683","-10.4292378947364","0.000432628513602873","0.00134127318253711","0.268494088166039","0.876229327408407","0.123770672591593",NA,"8.99679245138891","0.01","0.01","0.1","","",""
"22","EQ_large_cap","IPDMATMoMDifferenceL1","70","0.16537144124345","0.153275375174514","476.934174673365","481.431165157463","0.000432951397906889","7.09338538906384","1.95000009951596","0.000432951397906895","0.00473219319590167","0.596116488303059","0.65869454303803","0.34130545696197",NA,"8.92890660728517","0.01","0.01","0.1","","",""
"23","EQ_large_cap","ism_man_pmiMoMDifferenceL0","70","0.137673870734345","0.12517639060006","479.219447401474","483.716437885572","0.00144495247831433","7.21012357897891","1.75583477474131","0.00144495247831432","0.0146792452096982","0.565898098603147","0.649663618925072","0.350336381074928",NA,"9.1346345685403","0.01","0.01","0.1","","",""
