"","DV","Variable","# datapoints","R2","adjR2","AIC","BIC","F","RMSE","Coef","p-value","Robst p","BG_stat","DW_upper_stat","DW_lower_stat","BP_stat","RMSE_OS","ADF pvalue","PP pvalue","KPSS pvalue","Criteria1","Criteria2","Criteria3"
"1","FI_IG_mid","USGG10YR_IndexMoMDifferenceL0","70","0.605043880339397","0.599319878605185","-51.4306260785684","-46.9336355944696","1.4432899320127e-15","0.162858821927158","-1.09759754165043","1.46918378680332e-15","9.00188430489241e-25","0.274159177360686","0.152533177686115","0.847466822313885",NA,"0.180095150785789","0.0795221606449464","0.01","0.1","","",""
"2","FI_IG_mid","USGG10YR_IndexMoMPercentChangeL0","70","0.596203036979532","0.590350907080685","-49.8809999874284","-45.3840095033296","3.21964677141295e-15","0.164671480212614","-2.37313276837478","3.17554936649729e-15","2.04684191445919e-27","0.184383858836033","0.110157185938696","0.889842814061304",NA,"0.177091604621557","0.150445311999622","0.01","0.1","","",""
"3","FI_IG_mid","USGG30YR_IndexMoMDifferenceL0","70","0.509748077237261","0.502642976907366","-36.3004958318734","-31.8035053477746","2.76079159533538e-12","0.181445632116501","-1.09801134171502","2.76076178904832e-12","2.60970376963013e-19","0.532897822632783","0.271551453833414","0.728448546166586",NA,"0.189578376663269","0.0867378112301188","0.01","0.1","","",""
"4","FI_IG_mid","USGG30YR_IndexMoMPercentChangeL0","70","0.501679540365631","0.494457504718756","-35.1578174950714","-30.6608270109727","4.88531437525808e-12","0.182932649464053","-3.07769730489259","4.88536521127577e-12","4.7780010075562e-19","0.578397122651703","0.301228505288169","0.698771494711831",NA,"0.188112410161703","0.0919121775180242","0.01","0.1","","",""
"5","FI_IG_mid","USGG2YR_IndexMoMDifferenceL0","70","0.463927100588533","0.456157928133294","-30.0459418538849","-25.5489513697862","6.29696295106896e-11","0.189735585343534","-1.45522778816146","6.29696259751164e-11","4.10738393908866e-11","0.407224407983866","0.250284729589581","0.749715270410419",NA,"0.216304473891808","0.01","0.01","0.1","","",""
"6","FI_IG_mid","USGG2YR_IndexMoMPercentChangeL0","70","0.45570505279608","0.447816720227907","-28.9804631668228","-24.4834726827241","1.07362785328746e-10","0.191185088559712","-1.14272819117382","1.07362798155347e-10","6.50018416141738e-13","0.0691042137695191","0.0465200922782425","0.953479907721758",NA,"0.196929324887564","0.0370329681349649","0.01","0.1","","",""
"7","FI_IG_mid","UNRATEMoMPercentChangeL0","70","0.138750418175518","0.126268540178061","3.14205064779517","7.63904113189389","0.00137941781770312","0.240492411520539","3.60867577149873","0.00137941781770317","0.00206604131718638","0.941918475984529","0.508386217034989","0.491613782965011",NA,"0.239464686334549","0.0283216659860886","0.01","0.1","","",""
"8","FI_IG_mid","UNRATEMoMDifferenceL0","70","0.128111215416091","0.115475146074296","4.00147833420742","8.49846881830614","0.00217942515084324","0.241973279629771","0.665441691176468","0.00217942515084327","0.00408603136748536","0.77681422196475","0.415149604995866","0.584850395004134",NA,"0.226400172629327","0.0353389955395021","0.01","0.1","","",""
