"","DV","Variable","# datapoints","R2","adjR2","AIC","BIC","F","RMSE","Coef","p-value","Robst p","BG_stat","DW_upper_stat","DW_lower_stat","BP_stat","RMSE_OS","ADF pvalue","PP pvalue","KPSS pvalue","Criteria1","Criteria2","Criteria3"
"1","FI_HY","VIX_IndexMoMDifferenceL0","70","0.374622100669016","0.365558652852625","256.716345991578","261.213336475677","1.41702262146381e-08","1.47134687659465","-0.286436201797821","1.41702262470206e-08","5.42872886635602e-05","0.707858392618527","0.392170704153942","0.607829295846058",NA,"0.957735164651751","0.0951096464025146","0.01","0.1","","",""
"2","FI_HY","SPX_Index_30DRSIMoMPercentChangeL0","70","0.367955961897424","0.358795903374198","257.458553633686","261.955544117784","2.06003734071203e-08","1.47916791050216","7.88295271833039","2.06003734389525e-08","3.3122938598599e-08","0.0333339982284901","0.0215115406413005","0.9784884593587",NA,"1.01482363834406","0.0943053804764607","0.01","0.1","","",""
"3","FI_HY","BAA10YB_IndexMoMDifferenceL0","70","0.367886056968839","0.358724985330706","257.466295300596","261.963285784695","2.06809543934483e-08","1.47924970722992","-0.0774322363725678","2.06809543720171e-08","5.63370919026616e-08","0.0525848552878338","0.973708962110994","0.0262910378890061",NA,"1.00735128097459","0.0743108675453998","0.01","0.1","","",""
"4","FI_HY","VIX_IndexMoMPercentChangeL0","70","0.350606763095443","0.34119526690842","259.354109742124","263.851100226223","5.3624147566822e-08","1.49933157709892","-4.09731301829362","5.3624147613618e-08","0.000260990412221715","0.722357560969997","0.668890463937332","0.331109536062668",NA,"1.07994835849769","0.0555737541226168","0.01","0.1","","",""
"5","FI_HY","SPX_Index_30DRSIMoMDifferenceL0","70","0.344326163923629","0.334823644560204","260.02786106908","264.524851553179","7.5372875274482e-08","1.5065645148558","0.142461826142693","7.53728752726221e-08","4.87715665413632e-07","0.0900783944068279","0.0575333293884123","0.942466670611588",NA,"1.10043401564338","0.0978096137218667","0.01","0.1","","",""
"6","FI_HY","BAA10YB_IndexMoMPercentChangeL0","70","0.296359220273051","0.28616152781324","264.970176465833","269.467166949932","9.2287487529763e-07","1.56069955874432","-10.1008762905752","9.22874875284883e-07","1.92920782663296e-05","0.139634535606575","0.932236171386747","0.0677638286132533",NA,"1.114429261399","0.0806147744883237","0.01","0.1","","",""
"7","FI_HY","SPX_Index_14DRSIMoMPercentChangeL0","70","0.290027379894367","0.279737921631966","265.597266999612","270.094257483711","1.26960316848557e-06","1.56770595232217","3.72768485483179","1.26960316847201e-06","2.30242858504212e-07","0.0153709646110183","0.00983018120836175","0.990169818791638",NA,"1.1458348885695","0.110509910884885","0.01","0.1","","",""
"8","FI_HY","SPX_Index_14DRSIMoMDifferenceL0","70","0.284631478326172","0.274263818591768","266.127266314318","270.624256798416","1.66281842017835e-06","1.57365207952115","0.072994198615895","1.66281842022898e-06","1.04189015574328e-05","0.0654100054452465","0.0425771367456805","0.95742286325432",NA,"1.16958778082554","0.135321874958206","0.01","0.1","","",""
"9","FI_HY","IPMANSICSMoMDifferenceL1","70","0.200779884968911","0.189196984751069","273.885966293673","278.382956777771","8.91016548867363e-05","1.66332459719307","-0.572611684101088","8.9101654886748e-05","3.25699129238314e-10","0.697908119041611","0.648443872051787","0.351556127948213",NA,"0.963565037385203","0.128425923228851","0.01","0.1","","",""
"10","FI_HY","IPMANSICSMoMPercentChangeL1","70","0.195491910343114","0.183832372811855","274.347590107745","278.844580591844","0.00011319612813665","1.66881815094589","-60.0529901866163","0.000113196128136618","4.64695699885125e-09","0.685773986440639","0.653496651203426","0.346503348796574",NA,"0.985672865487207","0.128383983977595","0.01","0.1","","",""
"11","FI_HY","AAIIBEAR_IndexMoMDifferenceL0","70","0.156532909748863","0.144308749020585","277.657880561644","282.154871045743","0.000637700654220974","1.70874744475116","-0.0900698545085615","0.000637700654220984","0.00305909967508431","0.50982196897524","0.300513292587627","0.699486707412373",NA,"1.21915117827967","0.0983140826734103","0.01","0.1","","",""
"12","FI_HY","MOVE_IndexMoMPercentChangeL0","70","0.136178520672585","0.123659368798275","279.327047416822","283.824037900921","0.00154110015544173","1.7292421242522","-5.2004274892956","0.00154110015544174","0.000784442363338107","0.616943228960859","0.350251501556373","0.649748498443627",NA,"1.2796906279345","0.142381334291928","0.01","0.1","","",""
"13","FI_HY","MOVE_IndexMoMDifferenceL0","70","0.129056924126119","0.116434560707657","279.901781961906","284.398772446005","0.0020928271636097","1.73635568132689","-0.0737723562339311","0.00209282716360971","0.000599314656251942","0.59897858596279","0.345968386729739","0.654031613270261",NA,"1.30910381074128","0.124137941790711","0.01","0.1","","",""
"14","FI_HY","AAIIBEAR_IndexMoMPercentChangeL0","70","0.128813357672632","0.116187464305569","279.921355305587","284.418345789686","0.00211480001419739","1.73659845748702","-2.2055522956229","0.00211480001419742","0.00397304316187564","0.630438657334637","0.360359320838073","0.639640679161927",NA,"1.33564306713926","0.0886971244489788","0.01","0.1","","",""
