"","x"
"1",NA
"2",0.0025503300424591
"3",0.020867454899494
"4",0.00364277507671526
"5",-0.0385985358897164
"6",0.0051805166369836
"7",0.083484189038829
"8",-0.0576186011261288
"9",0.00156835947798322
"10",0.0131519402006073
"11",0.008812052306939
"12",-0.0294964944242153
"13",0.00511397942834694
"14",0.0391607747992341
"15",-0.0613636054388619
"16",0.0427259986150731
"17",0.0030035981086017
"18",0.0037720410645295
"19",0.0582107259456692
"20",-0.144190072952113
"21",0.0648237767209289
"22",-0.0392741061719968
"23",0.00692098596749
"24",-0.0131649279977019
"25",0.0770981726684417
"26",-0.0473917405895996
"27",0.0240780186172948
"28",-0.0210810429002273
"29",-0.00551122383632806
"30",0.00400313531720291
"31",0.0591976173908551
"32",-0.027219153496478
"33",-0.0254216381262904
"34",-0.00809355563878545
"35",0.0131755142983302
"36",0.0580328642447452
"37",-0.0445584322170461
"38",-0.03047122384624
"39",-0.0031393980384287
"40",-0.0285712504774502
"41",-0.0369399538482611
"42",0.0723389868120967
"43",0.0160400327698258
"44",0.00642652090369212
"45",-0.0229262228046558
"46",0.0225713928237427
"47",0.0022216272948585
"48",-0.0118037691728508
"49",-0.011249133033048
"50",0.0373831298392085
"51",-0.0541718150277975
"52",0.0217770506375602
"53",0.00612150275533837
"54",0.0110806160862967
"55",-0.0488683190977352
"56",0.0022059818489681
"57",0.0570993565939256
"58",-0.0479232813811313
"59",0.0397032196894637
"60",-0.0134713391765556
"61",-0.0199966097147364
"62",0.0270089413674341
"63",-0.040309466147449
"64",-0.0011969689640301
"65",0.0460317774596555
"66",0.0382553162481503
"67",-0.0506640083229744
"68",-0.0185054751055715
"69",0.0676897833943133
"70",-0.0729229364995765
